customer,transaction_date,customer_name,street,city,state,zip,unit_price,extended_price,qty_sold,qty_return,valid_order,week_end_date,speciality_distributor_2,speciality_distributor,account_type,child_id,parent_name,parent_id,region,qty_sold_extended,qty_return_extended,child_name,month_year,quarter_year,year,is_business_day
McKesson Plasma MPB,2024-08-27,MD ANDERSON CNCR CTR MPB,1515 HOLCOMBE BLVD #90,HOUSTON,TX,77030,7634.96,13570,-2,-2,1,2024-08-30,MCKESSON PLASMA AND BIOLOGICS      ,MPB,Academic,LOC-JV285325ZRLQ+H-28GDYEL86G9Y,UNIVERSITY OF TEXAS,HS-X8PMGZPMG56R,Central,,-2,UNIVERSITY OF TEXAS M. D. ANDERSON CANCER CENTER,2024-08,2024-Q3,2024,1
AmerisourceBergen,2024-02-28,UNIV OF MI MED CTR WAC,1500 E MED CTR DR/UH-B2D301,ANN ARBOR,MI,48109,6785,13570,-6,-6,1,2024-03-01,ASD HEALTHCARE-BROOKS              ,CENCORA,Academic,LOC-LVW4Y62K57N3+H-MNZ00EGX5LLDZ,UNIVERSITY OF MICHIGAN,HS-E8NZG94D1217G,Central,,-6,UNIVERSITY OF MICHIGAN HEALTH SYSTEM,2024-02,2024-Q1,2024,1
AmerisourceBergen,2024-04-23,UNIV OF MI MED CTR WAC,1500 E MED CTR DR/UH-B2D301,ANN ARBOR,MI,48109,6785,13570,-18,-18,1,2024-04-26,ASD HEALTHCARE-BROOKS              ,CENCORA,Academic,LOC-LVW4Y62K57N3+H-MNZ00EGX5LLDZ,UNIVERSITY OF MICHIGAN,HS-E8NZG94D1217G,Central,,-18,UNIVERSITY OF MICHIGAN HEALTH SYSTEM,2024-04,2024-Q2,2024,1
McKesson Plasma MPB,2024-05-14,HC PHCY UPMC ERIE PHS MPB,3175 E CARSON ST STE 200,PITTSBURGH,PA,152032130,6988.55,-13977.1,-2,-2,1,2024-05-17,MCKESSON PLASMA AND BIOLOGICS      ,MPB,Academic,LOC-L5V9M8PZ67WY+PG-XG9OEQQG6GKZ4,UPMC HEALTH,HS-8XMJ27KPLOJOJ,East,,-2,UPMC AND THE WASHINGTON HOSPITAL CANCER CENTER,2024-05,2024-Q2,2024,1
McKesson Plasma MPB,2024-05-14,VUMC CL ONCOLOGY PHS,1211 MEDICAL CTR TVC 2906,NASHVILLE,TN,37232,7412.58,-7412.58,-1,-1,1,2024-05-17,MCKESSON PLASMA AND BIOLOGICS      ,MPB,Academic,LOC-4VZV978KMWQ21+H-YMZEZGQXGOEE,VANDERBILT UNIVERSITY,HS-YXZ97Z07NDEG6,Central,,-1,VANDERBILT UNIVERSITY MEDICAL CENTER,2024-05,2024-Q2,2024,1
McKesson Plasma MPB,2024-06-13,528A7 VA OP SYRACUSE,800 IRVING AVENUE,SYRACUSE,NY,13210,7412.58,7412.58,-1,-1,1,2024-06-14,MCKESSON PLASMA AND BIOLOGICS      ,MPB,Non Academic - Hospital,LOC-1YVY1Q8RV0PK+H-GDN7GE2ZKGYO,U.S. DEPARTMENT OF VETERANS AFFAIRS,HS-Q1Y54KG0X7LZ,East,,-1,SYRACUSE VAMC,2024-06,2024-Q2,2024,1
McKesson Plasma MPB,2024-06-21,VUMC CL ONCOLOGY PHS,1211 MEDICAL CTR TVC 2906,NASHVILLE,TN,37232,7412.58,-7412.58,-5,-5,1,2024-06-21,MCKESSON PLASMA AND BIOLOGICS      ,MPB,Academic,LOC-4VZV978KMWQ21+H-YMZEZGQXGOEE,VANDERBILT UNIVERSITY,HS-YXZ97Z07NDEG6,Central,,-5,VANDERBILT UNIVERSITY MEDICAL CENTER,2024-06,2024-Q2,2024,1
McKesson Plasma MPB,2024-07-11,TACOMA GEN ONC RX PHS,315 MARTIN LUTHER KING JR,TACOMA,WA,984054234,7093.38,7093.38,-4,-4,1,2024-07-12,MCKESSON PLASMA AND BIOLOGICS      ,MPB,Non Academic - Hospital,LOC-MW3M88RMLR42+H-Z2G21E0ERZGRE,MULTICARE HEALTH SYSTEM,HS-JZDY867NKJN28,West,,-4,MULTICARE HEALTH SYSTEM,2024-07,2024-Q3,2024,1
McKesson Plasma MPB,2024-07-16,STANFORD ONCOL CLINIC PHS,875 BLAKE WILBUR RD,PALO ALTO,CA,943042205,7634.96,22904.88,-3,-3,1,2024-07-19,MCKESSON PLASMA AND BIOLOGICS      ,MPB,Academic,LOC-8Z577V9LVJL94+H-K41E55QK1K7M,STANFORD HEALTH CARE,HS-Z2E06ODKKYZZL,West,,-3,STANFORD HEALTH CARE,2024-07,2024-Q3,2024,1
McKesson Plasma MPB,2024-07-16,BAN MD ANDERSON PHS,1900 N HIGLEY RD,GILBERT,AZ,85234,7412.58,29650.32,-2,-2,1,2024-07-19,MCKESSON PLASMA AND BIOLOGICS      ,MPB,Academic,LOC-P5PW020PY09NZ+H-OYE1Q1GQKE07,BANNER HEALTH,HS-44Y5LJZY55O4K,West,,-2,BANNER GATEWAY MEDICAL CENTER,2024-07,2024-Q3,2024,1
AmerisourceBergen,2024-07-24,UNIV OF MI MED CTR WAC,1500 E MED CTR DR/UH-B2D301,ANN ARBOR,MI,48109,6785,13570,-2,-2,1,2024-07-26,ASD HEALTHCARE-BROOKS              ,CENCORA,Academic,LOC-LVW4Y62K57N3+H-MNZ00EGX5LLDZ,UNIVERSITY OF MICHIGAN,HS-E8NZG94D1217G,Central,,-2,UNIVERSITY OF MICHIGAN HEALTH SYSTEM,2024-07,2024-Q3,2024,1
McKesson Plasma MPB,2024-08-08,STANFORD EMERYVLLE HC PHS,5800 HOLLIS ST ROOM 2325,EMERYVILLE,CA,94608,6785,13570,-2,-2,1,2024-08-09,MCKESSON PLASMA AND BIOLOGICS      ,MPB,Academic,LOC-JWM0LNP7WZRQ+PG-68XRJ8MY781QZ,STANFORD HEALTH CARE,HS-Z2E06ODKKYZZL,West,,-2,STANFORD HEALTH CARE,2024-08,2024-Q3,2024,1
McKesson Plasma MPB,2024-08-08,STANFORD EMERYVLLE HC PHS,5800 HOLLIS ST ROOM 2325,EMERYVILLE,CA,94608,6785,13570,-2,-2,1,2024-08-09,MCKESSON PLASMA AND BIOLOGICS      ,MPB,Academic,LOC-JWM0LNP7WZRQ+PG-68XRJ8MY781QZ,STANFORD HEALTH CARE,HS-Z2E06ODKKYZZL,West,,-2,STANFORD HEALTH CARE,2024-08,2024-Q3,2024,1
McKesson Plasma MPB,2024-08-08,STANFORD EMERYVLLE HC PHS,5800 HOLLIS ST ROOM 2325,EMERYVILLE,CA,94608,6785,13570,-2,-2,1,2024-08-09,MCKESSON PLASMA AND BIOLOGICS      ,MPB,Academic,LOC-JWM0LNP7WZRQ+PG-68XRJ8MY781QZ,STANFORD HEALTH CARE,HS-Z2E06ODKKYZZL,West,,-2,STANFORD HEALTH CARE,2024-08,2024-Q3,2024,1
