transaction_type,month_year,budget,number_of_business_days_month,quarter_year,year,,,
COM,2026-01,409,21,2026-Q1,2026,,,
COM,2026-02,390,20,2026-Q1,2026,,,
COM,2026-03,429,22,2026-Q1,2026,,,
COM,2026-04,440,22,2026-Q2,2026,,,
COM,2026-05,420,20,2026-Q2,2026,,,
COM,2026-06,392,22,2026-Q2,2026,,,
COM,2026-07,418,22,2026-Q3,2026,,,
COM,2026-08,410,21,2026-Q3,2026,,,
COM,2026-09,422,21,2026-Q3,2026,,,
COM,2026-10,447,22,2026-Q4,2026,,,
COM,2026-11,412,20,2026-Q4,2026,,,
COM,2026-12,453,22,2026-Q4,2026,,,
COM+PAP,2026-01,422,21,2026-Q1,2026,,,
COM+PAP,2026-02,402,20,2026-Q1,2026,,,
COM+PAP,2026-03,442,22,2026-Q1,2026,,,
COM+PAP,2026-04,454,22,2026-Q2,2026,,,
COM+PAP,2026-05,433,20,2026-Q2,2026,,,
COM+PAP,2026-06,404,22,2026-Q2,2026,,,
COM+PAP,2026-07,431,22,2026-Q3,2026,,,
COM+PAP,2026-08,423,21,2026-Q3,2026,,,
COM+PAP,2026-09,435,21,2026-Q3,2026,,,
COM+PAP,2026-10,461,22,2026-Q4,2026,,,
COM+PAP,2026-11,425,20,2026-Q4,2026,,,
COM+PAP,2026-12,467,22,2026-Q4,2026,,,
