column_name,original_value,masked_value
region,Central,region_1
region,East,region_2
region,West,region_3
region,UNKNOWN,region_4
speciality_distributor,MPB,speciality_distributor_1
speciality_distributor,CENCORA,speciality_distributor_2
speciality_distributor,MSH,speciality_distributor_3
parent_name,UNIVERSITY OF TEXAS,parent_name_1
parent_name,UNIVERSITY OF MICHIGAN,parent_name_2
parent_name,UPMC HEALTH,parent_name_3
parent_name,VANDERBILT UNIVERSITY,parent_name_4
parent_name,U.S. DEPARTMENT OF VETERANS AFFAIRS,parent_name_5
parent_name,MULTICARE HEALTH SYSTEM,parent_name_6
parent_name,STANFORD HEALTH CARE,parent_name_7
parent_name,BANNER HEALTH,parent_name_8
parent_name,UNIVERSITY OF FLORIDA,parent_name_9
parent_name,CATAWBA COUNTY NORTH CAROLINA,parent_name_10
parent_name,MASS GENERAL BRIGHAM INC,parent_name_11
parent_name,H. LEE MOFFITT CANCER CENTER AND RESEARCH INSTITUTE,parent_name_12
parent_name,LIFEBRIDGE HEALTH INC,parent_name_13
parent_name,ADVOCATE AURORA HEALTH,parent_name_14
parent_name,CITY OF HOPE,parent_name_15
parent_name,OSU WEXNER MEDICAL CENTER,parent_name_16
parent_name,CARE NEW ENGLAND HEALTH SYSTEM,parent_name_17
parent_name,DANA FARBER CANCER INSTITUTE INC,parent_name_18
parent_name,FLORIDA CANCER SPECIALISTS & RESEARCH INSTITUTE LLC,parent_name_19
parent_name,WASHINGTON UNIVERSITY,parent_name_20
parent_name,NORTHWESTERN MEDICINE,parent_name_21
parent_name,MERCY HEALTH SERVICES INC,parent_name_22
parent_name,UCLA HEALTH SYSTEM,parent_name_23
parent_name,CONSULTANTS IN MEDICAL ONCOLOGY & HEMATOLOGY PC,parent_name_24
parent_name,MEMORIAL SLOAN KETTERING CANCER CENTER GROUP,parent_name_25
parent_name,NEWYORK - PRESBYTERIAN HEALTH,parent_name_26
parent_name,INDIANA UNIVERSITY,parent_name_27
parent_name,JOHNS HOPKINS MEDICINE,parent_name_28
parent_name,MEMORIAL HEALTHCARE SYSTEM,parent_name_29
parent_name,FROEDTERT HEALTH,parent_name_30
parent_name,MAINE CENTER FOR CANCER MEDICINE & BLOOD DISORDERS PA,parent_name_31
parent_name,MAYO CLINIC JACKSONVILLE,parent_name_32
parent_name,HOAG HOSPITAL NEWPORT BEACH,parent_name_33
parent_name,LIFESPAN,parent_name_34
parent_name,SARCOMA ONCOLOGY CENTER,parent_name_35
parent_name,CANCER CENTER ASSOCIATES,parent_name_36
parent_name,KAISER PERMANENTE,parent_name_37
parent_name,NORTHERN LIGHT HEALTH,parent_name_38
parent_name,CHRISTIANA CARE HEALTH SYSTEM,parent_name_39
parent_name,CARTI,parent_name_40
parent_name,UTAH CANCER SPECIALISTS PC,parent_name_41
parent_name,HAWAII HEALTH SYSTEMS CORPORATION,parent_name_42
parent_name,SUTTER HEALTH,parent_name_43
parent_name,COMMONSPIRIT HEALTH,parent_name_44
parent_name,TEXAS ONCOLOGY PA,parent_name_45
parent_name,The Center Of Hope,parent_name_46
parent_name,VIRGINIA CANCER SPECIALISTS P.C.,parent_name_47
parent_name,JEFFERSON HEALTH,parent_name_48
parent_name,-,parent_name_49
parent_name,MANHATTAN ADVANCED CARE,parent_name_50
parent_name,PROMEDICA HEALTH SYSTEM,parent_name_51
parent_name,SSM HEALTH,parent_name_52
parent_name,CEDARS-SINAI HEALTH SYSTEM,parent_name_53
parent_name,OCHSNER HEALTH SYSTEM,parent_name_54
parent_name,ATRIUM HEALTH,parent_name_55
parent_name,INTERMOUNTAIN HEALTHCARE,parent_name_56
parent_name,UNIVERSITY OF MIAMI,parent_name_57
parent_name,NORTHWELL HEALTH,parent_name_58
parent_name,COOKEVILLE REGIONAL HEALTH SYSTEM,parent_name_59
parent_name,ATLANTIC HEALTH SYSTEM,parent_name_60
parent_name,WOODLANDS MEDICAL SPECIALISTS P A,parent_name_61
parent_name,COREWELL HEALTH,parent_name_62
parent_name,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,parent_name_63
parent_name,SHAPIRO STAFFORD YEE & POLONSKY PC,parent_name_64
parent_name,NORTHSIDE HOSPITAL HEALTHCARE SYSTEM,parent_name_65
parent_name,NYC HEALTH + HOSPITALS,parent_name_66
parent_name,Wake Forest Baptist hospital,parent_name_67
parent_name,RWJBARNABAS HEALTH,parent_name_68
parent_name,VIRGINIA COMMONWEALTH UNIVERSITY SCHOOL OF MEDICINE,parent_name_69
parent_name,SAINT FRANCIS HEALTHCARE SYSTEM,parent_name_70
parent_name,THE CENTER FOR CANCER & BLOOD DISORDERS,parent_name_71
parent_name,UMASS MEMORIAL HEALTH CARE,parent_name_72
parent_name,UNIVERSITY OF SOUTHERN CALIFORNIA,parent_name_73
parent_name,MICHIGAN HEALTHCARE PROFESSIONALS PC,parent_name_74
parent_name,BAPTIST HEALTH,parent_name_75
parent_name,PROVIDENCE ST. JOSEPH HEALTH,parent_name_76
parent_name,VENTAS INC,parent_name_77
parent_name,HIGHMARK,parent_name_78
parent_name,NORTON HEALTHCARE,parent_name_79
parent_name,FRED HUTCHINSON CANCER CENTER,parent_name_80
parent_name,LOMA LINDA UNIVERSITY HEALTH,parent_name_81
parent_name,MAYO CLINIC HOSPITAL ROCHESTER,parent_name_82
parent_name,AVERA HEALTH,parent_name_83
parent_name,EMORY HEALTHCARE,parent_name_84
parent_name,PEACEHEALTH NETWORKS,parent_name_85
parent_name,THE UNIVERSITY OF KANSAS HEALTH SYSTEM,parent_name_86
parent_name,RICHMOND MEDICAL CENTER,parent_name_87
parent_name,CENTRAL COAST ONCOLOGY & HEMATOLOGY,parent_name_88
parent_name,FRANCISCAN HEALTH,parent_name_89
parent_name,ROCKY MOUNTAIN CANCER CENTERS LLP,parent_name_90
parent_name,FORT WAYNE MEDICAL ONCOLOGY AND HEMATOLOGY INC,parent_name_91
parent_name,MINNESOTA ONCOLOGY HEMATOLOGY PA,parent_name_92
parent_name,CENTRA HEALTH INC,parent_name_93
parent_name,SUNY ACADEMIC MEDICAL CENTERS,parent_name_94
parent_name,AMERICAN ONCOLOGY NETWORK LLC,parent_name_95
parent_name,CANCER CARE CENTERS OF BREVARD INC,parent_name_96
parent_name,STOCKTON HEMATOLOGY ONCOLOGY MEDICAL GROUP INC,parent_name_97
parent_name,COMPREHENSIVE HEMATOLOGY ONCOLOGY LLC,parent_name_98
parent_name,LEE HEALTH,parent_name_99
parent_name,STATE OF NEW JERSEY,parent_name_100
parent_name,WEILL CORNELL MEDICINE,parent_name_101
parent_name,UNIVERSITY OF CALIFORNIA DAVIS,parent_name_102
parent_name,INOVA HEALTH SYSTEM,parent_name_103
parent_name,UCHEALTH,parent_name_104
parent_name,UNITED STATES ARMY,parent_name_105
parent_name,TIDELANDS HEALTH,parent_name_106
parent_name,THE CHILDRENS MERCY HOSPITAL,parent_name_107
parent_name,HCA HEALTHCARE,parent_name_108
parent_name,INNOVATIVE INFUSIONS LLC,parent_name_109
parent_name,UNIVERSITY OF KENTUCKY,parent_name_110
parent_name,CHILDRENS HEALTHCARE OF ATLANTA INC,parent_name_111
parent_name,UNC HEALTH,parent_name_112
parent_name,KAWEAH HEALTH,parent_name_113
parent_name,UNIVERSITY OF CALIFORNIA IRVINE,parent_name_114
parent_name,SOUTH TEXAS ONCOLOGY AND HEMATOLOGY PLLC,parent_name_115
parent_name,FRANCISCAN MISSIONARIES OF OUR LADY HEALTH SYSTEM,parent_name_116
parent_name,UNKNOWN,parent_name_117
parent_name,MOUNT SINAI HEALTH SYSTEM,parent_name_118
parent_name,ENGLEWOOD HEALTHCARE SYSTEM,parent_name_119
parent_name,MARYLAND ONCOLOGY HEMATOLOGY PA,parent_name_120
parent_name,YALE SCHOOL OF MEDICINE,parent_name_121
parent_name,UNIVERSITY OF IOWA,parent_name_122
parent_name,SKAGIT REGIONAL HEALTH,parent_name_123
parent_name,COMMUNITY HEALTH PARTNERS,parent_name_124
parent_name,EISENHOWER HEALTH,parent_name_125
parent_name,MAHONING VALLEY HEMATOLOGY ONCOLOGY ASSOC. INC.,parent_name_126
