region,parent_id,parent_name_2,parent_name,city,state,account_classification
Central,PBE-2X5YY5KGJ1GNE,Texas Oncology Pa,TEXAS ONCOLOGY PA,El Paso,TX,Sustain Accounts
Central,HS-767Z51GLDK6K,Washington University,WASHINGTON UNIVERSITY,Saint Louis,MO,Sustain Accounts
Central,HS-D9G7DZQ1MEDXG,Duke Health,DUKE HEALTH,Durham,NC,Sustain Accounts
Central,HS-O5DNDJG6M50,Northwestern Medicine,NORTHWESTERN MEDICINE,Chicago,IL,Sustain Accounts
Central,HS-688MO850LOX0,Unc Health,UNC HEALTH,Chapel Hill,NC,Sustain Accounts
Central,HS-07Y5GZZGOQDEO,University of Kentucky,UNIVERSITY OF KENTUCKY,Lexington,KY,Sustain Accounts
Central,HS-X8PMGZPMG56R,University of Texas,UNIVERSITY OF TEXAS,Austin,TX,Sustain Accounts
East,HS-7927Q4XPJX9JJ,Memorial Sloan Kettering Cancer Center Group,MEMORIAL SLOAN KETTERING CANCER CENTER GROUP,New York,NY,Sustain Accounts
East,HS-8XP5L2YP9D1QE,Dana Farber Cancer Institute Inc,DANA FARBER CANCER INSTITUTE INC,Boston,MA,Sustain Accounts
East,HS-2X7YQX5YO7PGE,Emory Healthcare,EMORY HEALTHCARE,Atlanta,GA,Sustain Accounts
East,PBE-N2XD8DKNN0DP6,Florida Cancer Specialists & Research Institute Llc,FLORIDA CANCER SPECIALISTS & RESEARCH INSTITUTE LLC,Tampa,FL,Sustain Accounts
East,PBE-K21ZPKZQ01LP,Virginia Cancer Specialists P.C.,VIRGINIA CANCER SPECIALISTS P.C.,Fairfax,VA,Sustain Accounts
East,HS-8X19J07N746OJ,Johns Hopkins Medicine,JOHNS HOPKINS MEDICINE,Baltimore,MD,Sustain Accounts
East,HS-0E4RZ5QJL5Q8,Umass Memorial Health Care,UMASS MEMORIAL HEALTH CARE,Worcester,MA,Sustain Accounts
East,HS-7ELQ01MO4D28,Mount Sinai Health System,MOUNT SINAI HEALTH SYSTEM,New York,NY,Sustain Accounts
East,HS-6OPJKMDN18P0,Nuvance Health,NUVANCE HEALTH,Danbury,CT,Sustain Accounts
East,HS-JM9X7YKYL578,Dartmouth Health,DARTMOUTH HEALTH,Lebanon,NH,Sustain Accounts
East,PBE-EOX2Q9G1MQPG,Virginia Oncology Associates,VIRGINIA ONCOLOGY ASSOCIATES,Williamsburg,VA,Sustain Accounts
East,HS-8XMJ27KPLOJOJ,Upmc Health,UPMC HEALTH,Pittsburgh,PA,Sustain Accounts
West,HS-Z2E06ODKKYZZL,Stanford Health Care,STANFORD HEALTH CARE,Palo Alto,CA,Sustain Accounts
West,HS-68PRZ4X90NQ20,University of Southern California,UNIVERSITY OF SOUTHERN CALIFORNIA,Los Angeles,CA,Sustain Accounts
West,HS-QD8PD2ZXM6P9M,Kaiser Permanente,KAISER PERMANENTE,Oakland,CA,Sustain Accounts
West,HS-5GG814XMGP29,Sutter Health,SUTTER HEALTH,Sacramento,CA,Sustain Accounts
Central,HS-E8NZG94D1217G,University of Michigan,UNIVERSITY OF MICHIGAN,Ann Arbor,MI,Deepen Base
Central,HS-D8OOZ50KXKOX,Atrium Health,ATRIUM HEALTH,Charlotte,NC,Deepen Base
Central,HS-44GL60KYY6DM7,Franciscan Missionaries of Our Lady Health System,FRANCISCAN MISSIONARIES OF OUR LADY HEALTH SYSTEM,Baton Rouge,LA,Deepen Base
Central,HS-YXPXLEPMDEOGO,Froedtert Health,FROEDTERT HEALTH,Milwaukee,WI,Deepen Base
Central,HS-YXZ97Z07NDEG6,Vanderbilt University,VANDERBILT UNIVERSITY,Nashville,TN,Deepen Base
Central,HS-N2YE595DO7E96,Ssm Health,SSM HEALTH,Bridgeton,MO,Deepen Base
Central,HS-M6Z2RDE9YDXX,Rush Health,RUSH HEALTH,Chicago,IL,Deepen Base
Central,P-27157_1,Wake Forest Baptist hospital,WAKE FOREST BAPTIST HOSPITAL,Winston Salem,NC,Deepen Base
East,PBE-R40MGG22YO0L,North Shore Hematology Oncology Associates Pc,NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,Port Jefferson Station,NY,Deepen Base
East,PBE-07RM20QMKYXMJ,Maine Center For Cancer Medicine & Blood Disorders Pa,MAINE CENTER FOR CANCER MEDICINE & BLOOD DISORDERS PA,Scarborough,ME,Deepen Base
East,PBE-146D1885KP0J,Maryland Oncology Hematology Pa,MARYLAND ONCOLOGY HEMATOLOGY PA,Silver Spring,MD,Deepen Base
East,HS-QQ1GKRL57EMD,Christiana Care Health System,CHRISTIANA CARE HEALTH SYSTEM,Wilmington,DE,Deepen Base
East,HS-PEORPNDPOQ9OE,University of Miami,UNIVERSITY OF MIAMI,Coral Gables,FL,Deepen Base
East,HS-XXK98YJ11LK,Newyork - Presbyterian Health,NEWYORK - PRESBYTERIAN HEALTH,New York,NY,Deepen Base
West,HS-D78JDE86PNYK,Uchealth,UCHEALTH,Aurora,CO,Deepen Base
West,PBE-MG9D9JKEZ2J5,Sarcoma Oncology Center,SARCOMA ONCOLOGY CENTER,Santa Monica,CA,Deepen Base
West,HS-K94JR6QYJ8N5,Cedars-Sinai Health System,CEDARS-SINAI HEALTH SYSTEM,Los Angeles,CA,Deepen Base
West,HS-YQYOKGZZGXEO,City of Hope,CITY OF HOPE,Duarte,CA,Deepen Base
Central,HS-5PXELR95D1L9,Cleveland Clinic,CLEVELAND CLINIC,Cleveland,OH,Unlock Growth
