qty_sold,revenue,forecast,quarter_year,year,month_year
70,0.4037075,0,2022-Q1,2022,2022-02
330,1.9031925,0,2022-Q1,2022,2022-03
159,0.91699275,0,2022-Q2,2022,2022-04
179,1.03095361,0,2022-Q2,2022,2022-05
258,1.487143085,0,2022-Q2,2022,2022-06
189,1.08954887,0,2022-Q3,2022,2022-07
310,1.7878475,0,2022-Q3,2022,2022-08
242,1.3956745,0,2022-Q3,2022,2022-09
274,1.580205,0,2022-Q4,2022,2022-10
199,1.138593,0,2022-Q4,2022,2022-11
393,2.483297705,0,2022-Q4,2022,2022-12
326,1.93479703,2.561912014,2023-Q1,2023,2023-01
287,1.703906337,1.704856773,2023-Q1,2023,2023-02
375,2.227600313,2.227600313,2023-Q1,2023,2023-03
366,2.174137905,2.174137905,2023-Q2,2023,2023-04
389,2.31028884,2.310764058,2023-Q2,2023,2023-05
289,1.716737308,1.716737308,2023-Q2,2023,2023-06
232,1.398814536,1.398814191,2023-Q3,2023,2023-07
428,2.580571644,2.580571007,2023-Q3,2023,2023-08
359,1.97954629,2.044892781,2023-Q3,2023,2023-09
363,2.188662399,2.366590151,2023-Q4,2023,2023-10
419,2.526307287,2.483123832,2023-Q4,2023,2023-11
286,1.61137841,2.260661761,2023-Q4,2023,2023-12
274,1.674068554,1.674068478,2024-Q1,2024,2024-01
242,1.497860041,1.497860095,2024-Q1,2024,2024-02
356,2.181463611,2.181463611,2024-Q1,2024,2024-03
361,2.234411052,1.949694407,2024-Q2,2024,2024-04
420,2.599591806,2.027682183,2024-Q2,2024,2024-05
309,1.344972849,1.802384163,2024-Q2,2024,2024-06
332,2.10501425,2.172053155,2024-Q3,2024,2024-07
432,2.751288335,2.258935281,2024-Q3,2024,2024-08
406,2.3559903,2.088260171,2024-Q3,2024,2024-09
387,2.467199149,2.4432644,2024-Q4,2024,2024-10
370,2.358820892,2.540994976,2024-Q4,2024,2024-11
424,2.412488238,2.863904312,2024-Q4,2024,2024-12
449,2.846881541,2.515501366,2025-Q1,2025,2025-01
380,2.410314742,2.263886308,2025-Q1,2025,2025-02
353,2.054012767,2.268023123,2025-Q1,2025,2025-03
468,2.97208221,2.54416913,2025-Q2,2025,2025-04
496,3.14609395,2.561912014,2025-Q2,2025,2025-05
392,2.478428209,2.09440371,2025-Q2,2025,2025-06
487,3.169765006,2.353937972,2025-Q3,2025,2025-07
348,2.269475287,2.474901592,2025-Q3,2025,2025-08
600,4.05922326,2.483234298,2025-Q3,2025,2025-09
414,2.704754136,2.645648345,2025-Q4,2025,2025-10
431,2.815818919,2.380242813,2025-Q4,2025,2025-11
574,5.45535325,2.413953202,2025-Q4,2025,2025-12
372,2.55569977,3.05824743,2026-Q1,2026,2026-01
385,2.61525522,2.730734021,2026-Q1,2026,2026-02
613,4.254934379,2.756207287,2026-Q1,2026,2026-03
427,2.900555789,2.798662728,2026-Q2,2026,2026-04
490,3.328506643,3.291145854,2026-Q2,2026,2026-05
817,5.549775362,2.804838065,2026-Q2,2026,2026-06
