month_year,quarter_year,net_sales_forecast,gross_sales_forecast,year
2026-01,2026-Q1,3058000,3866301.5,2026
2026-02,2026-Q1,2731000,3500000,2026
2026-03,2026-Q1,2800000,3480000,2026
2026-04,2026-Q2,2799000,3538129,2026
2026-05,2026-Q2,3291000,4160736.7,2026
2026-06,2026-Q2,2805000,3545936,2026
2026-07,2026-Q3,3075000,3887519.3,2026
2026-08,2026-Q3,2816000,3560031.7,2026
2026-09,2026-Q3,3247000,4105493.3,2026
2026-10,2026-Q4,3283000,4149863.5,2026
2026-11,2026-Q4,2967000,3750416.8,2026
2026-12,2026-Q4,3325000,4204141.6,2026
