ex_factory_vials,shipment_date,valid_order,wholesaler_name_2,wholesaler_name,week_end_date,month_year,quarter_year,year,is_business_day,unit_price,discount,gross_sales,net_sales
30,2022-02-21,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-02-25,2022-02,2022-Q1,2022,1,6785,0.15,203550,173017.5
10,2022-02-21,1,ASD HEALTHCARE - RENO DC           ,CENCORA,2022-02-25,2022-02,2022-Q1,2022,1,6785,0.15,67850,57672.5
5,2022-02-21,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-02-25,2022-02,2022-Q1,2022,1,6785,0.15,33925,28836.25
10,2022-02-21,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-02-25,2022-02,2022-Q1,2022,1,6785,0.15,67850,57672.5
5,2022-02-21,1,McKesson Specialty Care DC         ,MSH,2022-02-25,2022-02,2022-Q1,2022,1,6785,0.15,33925,28836.25
30,2022-02-21,0,PANTHERRX RARE                     ,PANTHERRX,2022-02-25,2022-02,2022-Q1,2022,1,6649.3,0.15,199479,169557.15
10,2022-02-21,1,DOTHAN D AND S                     ,CENCORA,2022-02-25,2022-02,2022-Q1,2022,1,6785,0.15,67850,57672.5
10,2022-03-01,1,DOTHAN D AND S                     ,CENCORA,2022-03-04,2022-03,2022-Q1,2022,1,6785,0.15,67850,57672.5
20,2022-03-01,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-03-04,2022-03,2022-Q1,2022,1,6785,0.15,135700,115345
5,2022-03-01,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-03-04,2022-03,2022-Q1,2022,1,6785,0.15,33925,28836.25
5,2022-03-01,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-03-04,2022-03,2022-Q1,2022,1,6785,0.15,33925,28836.25
30,2022-03-03,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-03-04,2022-03,2022-Q1,2022,1,6785,0.15,203550,173017.5
25,2022-03-07,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-03-11,2022-03,2022-Q1,2022,1,6785,0.15,169625,144181.25
2,2022-03-09,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-03-11,2022-03,2022-Q1,2022,1,6785,0.15,13570,11534.5
10,2022-03-09,1,McKesson Specialty Care DC         ,MSH,2022-03-11,2022-03,2022-Q1,2022,1,6785,0.15,67850,57672.5
10,2022-03-09,0,PANTHERRX RARE                     ,PANTHERRX,2022-03-11,2022-03,2022-Q1,2022,1,6649.3,0.15,66493,56519.05
20,2022-03-09,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-03-11,2022-03,2022-Q1,2022,1,6785,0.15,135700,115345
25,2022-03-09,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-03-11,2022-03,2022-Q1,2022,1,6785,0.15,169625,144181.25
50,2022-03-10,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-03-11,2022-03,2022-Q1,2022,1,6785,0.15,339250,288362.5
5,2022-03-14,1,DOTHAN D AND S                     ,CENCORA,2022-03-18,2022-03,2022-Q1,2022,1,6785,0.15,33925,28836.25
10,2022-03-14,0,DOTHAN D AND S                     ,CENCORA,2022-03-18,2022-03,2022-Q1,2022,1,6785,0.15,67850,57672.5
10,2022-03-14,0,DOTHAN D AND S                     ,CENCORA,2022-03-18,2022-03,2022-Q1,2022,1,6785,0.15,67850,57672.5
-10,2022-03-14,0,DOTHAN D AND S                     ,CENCORA,2022-03-18,2022-03,2022-Q1,2022,1,6785,0.15,-67850,-57672.5
-10,2022-03-14,0,DOTHAN D AND S                     ,CENCORA,2022-03-18,2022-03,2022-Q1,2022,1,6785,0.15,-67850,-57672.5
25,2022-03-14,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-03-18,2022-03,2022-Q1,2022,1,6785,0.15,169625,144181.25
20,2022-03-16,0,PANTHERRX RARE                     ,PANTHERRX,2022-03-18,2022-03,2022-Q1,2022,1,6649.3,0.15,132986,113038.1
5,2022-03-17,1,DOTHAN D AND S                     ,CENCORA,2022-03-18,2022-03,2022-Q1,2022,1,6785,0.15,33925,28836.25
4,2022-03-21,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-03-25,2022-03,2022-Q1,2022,1,6785,0.15,27140,23069
20,2022-03-21,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-03-25,2022-03,2022-Q1,2022,1,6785,0.15,135700,115345
10,2022-03-24,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-03-25,2022-03,2022-Q1,2022,1,6785,0.15,67850,57672.5
50,2022-03-28,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-04-01,2022-03,2022-Q1,2022,1,6785,0.15,339250,288362.5
9,2022-03-30,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-04-01,2022-03,2022-Q1,2022,1,6785,0.15,61065,51905.25
12,2022-04-01,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-04-01,2022-04,2022-Q2,2022,1,6785,0.15,81420,69207
10,2022-04-01,1,DOTHAN D AND S                     ,CENCORA,2022-04-01,2022-04,2022-Q2,2022,1,6785,0.15,67850,57672.5
2,2022-04-01,1,McKesson Specialty Care DC         ,MSH,2022-04-01,2022-04,2022-Q2,2022,1,6785,0.15,13570,11534.5
4,2022-04-04,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-04-08,2022-04,2022-Q2,2022,1,6785,0.15,27140,23069
15,2022-04-07,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-04-08,2022-04,2022-Q2,2022,1,6785,0.15,101775,86508.75
50,2022-04-11,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-04-15,2022-04,2022-Q2,2022,1,6785,0.15,339250,288362.5
6,2022-04-12,1,McKesson Specialty Care DC         ,MSH,2022-04-15,2022-04,2022-Q2,2022,1,6785,0.15,40710,34603.5
10,2022-04-13,0,PANTHERRX RARE                     ,PANTHERRX,2022-04-15,2022-04,2022-Q2,2022,1,6649.3,0.15,66493,56519.05
5,2022-04-14,1,DOTHAN D AND S                     ,CENCORA,2022-04-15,2022-04,2022-Q2,2022,1,6785,0.15,33925,28836.25
4,2022-04-18,1,McKesson Specialty Care DC         ,MSH,2022-04-22,2022-04,2022-Q2,2022,1,6785,0.15,27140,23069
