qty_sold,shipment_date,valid_order,wholesaler_name,short_wholesaler_name,week_end_date,month_year,quarter_year,year,is_business_day,unit_price,discount
30,2022-02-21,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-02-25,2022-02,2022-Q1,2022,1,6785.0,0.15
10,2022-02-21,1,ASD HEALTHCARE - RENO DC           ,ASD,2022-02-25,2022-02,2022-Q1,2022,1,6785.0,0.15
5,2022-02-21,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-02-25,2022-02,2022-Q1,2022,1,6785.0,0.15
10,2022-02-21,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-02-25,2022-02,2022-Q1,2022,1,6785.0,0.15
5,2022-02-21,1,McKesson Specialty Care DC         ,MSH,2022-02-25,2022-02,2022-Q1,2022,1,6785.0,0.15
30,2022-02-21,0,PANTHERRX RARE                     ,PANTHERRX,2022-02-25,2022-02,2022-Q1,2022,1,6649.3,0.15
10,2022-02-21,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-02-25,2022-02,2022-Q1,2022,1,6785.0,0.15
10,2022-03-01,1,DOTHAN D AND S                     ,ONCOLOGY SUPPLY,2022-03-04,2022-03,2022-Q1,2022,1,6785.0,0.15
20,2022-03-01,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-03-04,2022-03,2022-Q1,2022,1,6785.0,0.15
5,2022-03-01,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-03-04,2022-03,2022-Q1,2022,1,6785.0,0.15
5,2022-03-01,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-03-04,2022-03,2022-Q1,2022,1,6785.0,0.15
30,2022-03-03,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-03-04,2022-03,2022-Q1,2022,1,6785.0,0.15
25,2022-03-07,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-03-11,2022-03,2022-Q1,2022,1,6785.0,0.15
2,2022-03-09,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-03-11,2022-03,2022-Q1,2022,1,6785.0,0.15
10,2022-03-09,1,McKesson Specialty Care DC         ,MSH,2022-03-11,2022-03,2022-Q1,2022,1,6785.0,0.15
10,2022-03-09,0,PANTHERRX RARE                     ,PANTHERRX,2022-03-11,2022-03,2022-Q1,2022,1,6649.3,0.15
20,2022-03-09,1,ASD HEALTHCARE-BROOKS              ,ASD,2022-03-11,2022-03,2022-Q1,2022,1,6785.0,0.15
